,job_id,country,region,city,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,fraudulent
0,1,US, NY, New York,0,1,0,Other,Internship,,0
1,2,Other, ,Other,0,1,0,Full-time,Not Applicable,,0
2,3,US,Other,Other,0,1,0,,,,0
3,4,US,Other,Other,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,0
4,5,US, FL,Other,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
5,6,US,Other, ,0,0,0,,,,0
6,7,Other,Other,Other,0,1,1,Full-time,Mid-Senior level,Master's Degree,0
7,8,US, CA, San Francisco,0,1,1,,,,0
8,9,US, FL,Other,0,1,1,Full-time,Associate,,0
9,10,US,Other,Other,0,1,0,Part-time,Entry level,High School or equivalent,0
10,11,US,Other,Other,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,0
11,12,GB, LND, London,0,1,0,,,,0
12,13,US,Other,Other,0,1,0,Full-time,Associate,Bachelor's Degree,0
13,14,US, FL,Other,0,1,1,Full-time,Not Applicable,Unspecified,0
14,15,Other,Other,Other,0,1,0,Full-time,Associate,Bachelor's Degree,0
15,16,Other,Other,Other,0,1,1,Full-time,Executive,Bachelor's Degree,0
16,17,Other, ,Other,0,1,0,Full-time,Mid-Senior level,,0
17,18,GB,Other,Other,0,1,1,,,,0
18,19,US, NY, New York,0,1,0,,,,0
19,20,US,Other,Other,0,0,0,Full-time,,,0
20,21,US, TX,Other,0,1,0,,,,0
21,22,Other,Other,Other,0,1,0,Full-time,Mid-Senior level,Master's Degree,0
22,23,Other, , ,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
23,24,US, CA,Other,0,1,0,Full-time,Executive,Unspecified,0
24,25,GB, LND, London,0,0,0,,,,0
25,26,US, NY,Other,0,1,1,,,,0
26,27,Other, , ,0,1,0,Full-time,Associate,,0
27,28,Other,Other,Other,0,1,0,Full-time,Associate,Master's Degree,0
28,29,US,Other,Other,0,0,0,Full-time,,,0
29,30,CA,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
30,31,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
31,32,US,Other, ,0,1,0,Full-time,Associate,Unspecified,0
32,33,US,Other,Other,0,1,1,Full-time,Entry level,Unspecified,0
33,34,US, CA,Other,0,1,1,Full-time,,Bachelor's Degree,0
34,35,GB, LND, ,0,1,1,Full-time,,,0
35,36,US, NY,Other,0,1,1,Contract,,Bachelor's Degree,0
36,37,US, NY,Other,0,1,0,Contract,,Bachelor's Degree,0
37,38,US, TX,Other,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,0
38,39,Other,Other,Other,0,1,1,Full-time,Mid-Senior level,,0
39,40,US, IL,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
40,41,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
41,42,US, CA,Other,0,1,1,Contract,,Bachelor's Degree,0
42,43,US,,,0,0,0,Full-time,Entry level,Bachelor's Degree,0
43,44,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
44,45,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
45,46,US,Other,Other,0,1,0,Full-time,,,0
46,47,Other,Other, ,0,0,0,Full-time,Entry level,Bachelor's Degree,0
47,48,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
48,49,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
49,50,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
50,51,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
51,52,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
52,53,US, NY, New York,0,1,0,Full-time,,,0
53,54,US, NY,Other,0,0,0,Full-time,Associate,Bachelor's Degree,0
54,55,US,Other,Other,0,1,0,,,,0
55,56,Other, , ,0,1,1,,,,0
56,57,US,Other,Other,0,1,0,,,,0
57,58,CA,Other,Other,0,1,1,,,Bachelor's Degree,0
58,59,US, TX,Other,0,1,0,Full-time,Associate,Bachelor's Degree,0
59,60,US, CA, San Francisco,0,1,1,Full-time,Not Applicable,Unspecified,0
60,61,US,Other,Other,0,1,1,Contract,Entry level,Bachelor's Degree,0
61,62,US,Other,Other,0,1,1,Full-time,Entry level,High School or equivalent,0
62,63,US, CA,Other,0,1,1,Contract,,Bachelor's Degree,0
63,64,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
64,65,US, , ,0,0,0,,,,0
65,66,Other,Other,Other,0,1,1,Full-time,,Unspecified,0
66,67,GR, I, Athens,0,1,1,,,,0
67,68,US,Other,Other,0,0,0,Full-time,,,0
68,69,US,Other,Other,0,0,0,Full-time,,,0
69,70,US, CA,Other,0,0,1,Contract,,,0
70,71,GB, LND, London,0,1,0,,,,0
71,72,US, NY,Other,0,1,1,Full-time,Associate,High School or equivalent,0
72,73,US, FL,Other,0,1,0,Part-time,Entry level,High School or equivalent,0
73,74,Other,Other,Other,0,0,0,Full-time,,,0
74,75,US,Other,Other,0,1,0,Part-time,Entry level,High School or equivalent,0
75,76,Other,Other,Other,0,1,1,Full-time,Mid-Senior level,Master's Degree,0
76,77,US, TX,Other,0,1,1,Full-time,Associate,High School or equivalent,0
77,78,US,Other,Other,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,0
78,79,US,Other,Other,1,0,0,Full-time,Mid-Senior level,,0
79,80,Other,Other,Other,0,1,1,Full-time,,Bachelor's Degree,0
80,81,US, CA,Other,0,1,1,Contract,,Bachelor's Degree,0
81,82,US, CA, San Francisco,0,1,0,Full-time,Entry level,High School or equivalent,0
82,83,GB, ,Other,0,1,1,Temporary,Associate,Unspecified,0
83,84,US,Other, London,0,1,0,Full-time,Entry level,High School or equivalent,0
84,85,US,Other,Other,0,1,0,Part-time,Entry level,High School or equivalent,0
85,86,US, CA,Other,0,1,1,Full-time,Associate,Bachelor's Degree,0
86,87,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
87,88,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
88,89,GR, I, Athens,0,1,1,,,,0
89,90,CA,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
90,91,US, NY, New York,0,1,0,Full-time,Associate,Bachelor's Degree,0
91,92,GB, , ,0,1,0,Full-time,,,0
92,93,US,Other,Other,1,0,0,Full-time,Entry level,High School or equivalent,0
93,94,US, CA, San Francisco,0,1,0,Full-time,Entry level,High School or equivalent,0
94,95,GB, ,Other,0,1,1,Full-time,Not Applicable,High School or equivalent,0
95,96,US, , ,0,1,0,Full-time,Director,Master's Degree,0
96,97,GB, , London,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,0
97,98,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
98,99,US, ,Other,0,1,1,Full-time,Mid-Senior level,High School or equivalent,1
99,100,US, NY, New York,0,1,1,Contract,,Bachelor's Degree,0
100,101,US,Other,Other,0,1,0,,,,0
101,102,CA,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
102,103,GB,Other,Other,1,1,0,Full-time,Entry level,Bachelor's Degree,0
103,104,US, NY, New York,0,1,0,Full-time,Entry level,High School or equivalent,0
104,105,US,Other,Other,0,0,0,,,,0
105,106,US, FL,Other,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
106,107,GB, ,Other,0,1,1,Full-time,Internship,High School or equivalent,0
107,108,GB, LND, London,0,1,0,Full-time,Not Applicable,Unspecified,0
108,109,US,Other,Other,0,0,1,Full-time,Mid-Senior level,,0
109,110,US, TX,Other,0,1,0,Full-time,Director,Bachelor's Degree,0
110,111,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
111,112,US,Other,Other,0,1,0,Part-time,Entry level,High School or equivalent,0
112,113,US,Other,Other,0,1,0,Part-time,Entry level,High School or equivalent,0
113,114,GB,Other,Other,0,1,0,Full-time,Mid-Senior level,,0
114,115,US, CA,Other,1,1,0,,,,0
115,116,GB,Other,Other,0,1,1,,Not Applicable,High School or equivalent,0
116,117,US, CA, San Francisco,0,1,1,Full-time,Entry level,Bachelor's Degree,0
117,118,US, IL,Other,0,1,1,,,,0
118,119,US, NY, New York,0,1,0,Full-time,Director,,0
119,120,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
120,121,US,Other,Other,0,1,0,Full-time,Associate,High School or equivalent,0
121,122,Other,Other,Other,0,1,1,Full-time,,,0
122,123,CA,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
123,124,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
124,125,US, FL,Other,0,1,0,Part-time,Entry level,High School or equivalent,0
125,126,US, NY,Other,0,1,1,Full-time,Associate,Bachelor's Degree,0
126,127,GR, I, Athens,0,1,0,Full-time,Mid-Senior level,,0
127,128,US,Other, ,0,1,1,Full-time,Associate,Unspecified,0
128,129,US,Other,Other,0,1,1,Temporary,Internship,Some College Coursework Completed,0
129,130,US, TX,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
130,131,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
131,132,GB, ,Other,0,1,1,Temporary,Associate,Unspecified,0
132,133,GB,Other,Other,0,1,0,Full-time,Mid-Senior level,,0
133,134,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
134,135,GB, ,Other,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,0
135,136,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
136,137,US, TX,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
137,138,Other, ,Other,0,1,1,,,,0
138,139,US, NY, New York,0,1,0,Full-time,Entry level,High School or equivalent,0
139,140,US, NY, New York,0,1,0,Full-time,Entry level,High School or equivalent,0
140,141,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
141,142,US, CA,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
142,143,Other,Other,Other,0,1,0,,,,0
143,144,US, TX,Other,0,1,1,Contract,Entry level,Bachelor's Degree,0
144,145,,,,0,0,0,,,,1
145,146,GR, I, Athens,0,1,0,Full-time,Associate,Unspecified,0
146,147,US, TX,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
147,148,US,Other,Other,0,0,0,Full-time,,,0
148,149,GR, I, Athens,0,1,1,Full-time,Associate,Bachelor's Degree,0
149,150,US,Other,Other,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,0
150,151,US,Other,Other,0,1,0,Full-time,Associate,Unspecified,0
151,152,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
152,153,US, NY, New York,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,0
153,154,GB, , London,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
154,155,US,Other,Other,0,0,0,Contract,,High School or equivalent,0
155,156,US,Other,Other,0,0,0,Full-time,Associate,High School or equivalent,0
156,157,US,Other,Other,0,1,0,,,,0
157,158,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
158,159,US, , ,1,0,1,Contract,,,0
159,160,US,Other,Other,0,1,1,,,,0
160,161,US,Other,Other,0,0,0,Full-time,Associate,High School or equivalent,0
161,162,US,Other,Other,0,0,1,Full-time,Director,Bachelor's Degree,0
162,163,Other,Other,Other,0,1,0,Full-time,Mid-Senior level,,0
163,164,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
164,165,Other,Other,Other,0,1,0,Full-time,Entry level,Bachelor's Degree,0
165,166,GB, , London,0,1,1,Full-time,Internship,Bachelor's Degree,0
166,167,GR, I, Athens,0,0,0,Full-time,Mid-Senior level,Master's Degree,0
167,168,US,Other,Other,0,0,0,Full-time,Entry level,High School or equivalent,0
168,169,GR, I, Athens,0,1,0,Full-time,Entry level,Bachelor's Degree,0
169,170,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
170,171,Other,Other,Other,0,1,1,Full-time,,,0
171,172,GB,Other, London,0,1,0,Full-time,Associate,Vocational,0
172,173,Other,Other,Other,0,1,0,Full-time,Associate,,0
173,174,US,,,0,1,1,Full-time,Mid-Senior level,Certification,1
174,175,US, ,Other,0,1,1,Full-time,Associate,,0
175,176,US, NY, New York,0,1,0,Part-time,Entry level,High School or equivalent,0
176,177,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
177,178,US,Other,Other,0,1,1,Other,Entry level,High School or equivalent,0
178,179,US, IL,Other,0,1,1,Full-time,Director,Bachelor's Degree,0
179,180,GB, LND, London,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
180,181,Other,Other,Other,0,0,0,,,,1
181,182,US, CA,Other,0,1,1,Contract,,Bachelor's Degree,0
182,183,US, TX,Other,0,1,1,Full-time,,,0
183,184,US, ,Other,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,0
184,185,GB, LND, London,0,1,0,,,,0
185,186,GB,Other, ,0,1,0,,,,0
186,187,US, CA,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
187,188,US, , ,0,1,1,Part-time,Entry level,Some College Coursework Completed,0
188,189,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
189,190,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
190,191,US,Other,Other,0,0,0,Full-time,Entry level,High School or equivalent,0
191,192,US, , ,0,0,0,,,,0
192,193,US,Other,Other,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,0
193,194,GR, I,Other,0,0,1,Full-time,Entry level,,0
194,195,GB, , ,0,1,0,,,,0
195,196,GR,Other,Other,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
196,197,US, NY,Other,0,1,1,Contract,,Bachelor's Degree,0
197,198,Other,Other,Other,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
198,199,GB,Other,Other,0,1,1,Full-time,Entry level,Bachelor's Degree,0
199,200,US, IL,Other,0,1,0,,,,0
200,201,Other,Other,Other,0,1,1,Full-time,Mid-Senior level,,0
201,202,Other, ,Other,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,0
202,203,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
203,204,US, , ,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,0
204,205,,,,0,1,0,,,,0
205,206,US, CA,Other,0,1,0,Full-time,Entry level,Bachelor's Degree,0
206,207,GB, , ,0,1,0,Full-time,Not Applicable,Unspecified,0
207,208,US,Other, London,0,1,0,Full-time,Entry level,High School or equivalent,0
208,209,US, FL,Other,0,1,1,Contract,,Bachelor's Degree,0
209,210,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
210,211,US, FL,Other,0,1,0,Part-time,Entry level,High School or equivalent,0
211,212,Other,Other,Other,0,1,0,Full-time,Entry level,Bachelor's Degree,0
212,213,US,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
213,214,CA,Other,Other,0,1,0,Full-time,Entry level,High School or equivalent,0
214,215,US, CA,Other,0,0,0,,,,0
215,216,US, CA,Other,0,1,1,Full-time,Mid-Senior level,High School or equivalent,1
216,217,US,Other,Other,0,1,1,Contract,,Bachelor's Degree,0
217,218,GB, LND, London,0,1,0,Full-time,Director,,0
218,219,Other,Other,Other,0,1,0,Full-time,Entry level,Unspecified,0
219,220,Other,Other,Other,0,1,0,Full-time,Director,Master's Degree,0
220,221,US, NY, New York,0,1,0,Full-time,Mid-Senior level,High School or equivalent,0
221,222,GB,Other,Other,0,1,1,Full-time,,High School or equivalent,0
222,223,Other, ,Other,0,1,1,,,,0
